pov_school_age_county,median_inc_county,county
18.3,50480,Alamance
18.8,49138,Alexander
29.2,39735,Alleghany
29.2,38023,Anson
23.3,41864,Ashe
24.4,41701,Avery
26.2,46411,Beaufort
30.4,35433,Bertie
41.8,36976,Bladen
19,60163,Brunswick
16.6,53960,Buncombe
19.9,44946,Burke
10.9,69297,Cabarrus
20.3,43328,Caldwell
9,65955,Camden
15.5,55052,Carteret
26.5,45517,Caswell
18.7,53738,Catawba
13.1,73703,Chatham
25.8,41262,Cherokee
28.2,42618,Chowan
20.5,42878,Clay
27.1,42728,Cleveland
34,36862,Columbus
22.5,50748,Craven
22.2,46779,Cumberland
12.4,64426,Currituck
12.9,64768,Dare
20,47758,Davidson
13.5,60801,Davie
27.3,42725,Duplin
18.9,59329,Durham
34,38818,Edgecombe
23,50112,Forsyth
18.7,57710,Franklin
16.6,52798,Gaston
19.5,51746,Gates
24.3,39502,Graham
18.4,58956,Granville
32,43591,Greene
22.1,52166,Guilford
31.3,36760,Halifax
20.5,51225,Harnett
20.1,47183,Haywood
15,54012,Henderson
30.6,38216,Hertford
24.8,47892,Hoke
30.6,40653,Hyde
13,60044,Iredell
20.4,44502,Jackson
15.4,60296,Johnston
28.8,43302,Jones
22.2,48984,Lee
37.2,40433,Lenoir
13.5,62963,Lincoln
20.1,43972,McDowell
26.5,46426,Macon
22.4,44693,Madison
30.2,43569,Martin
16.4,64509,Mecklenburg
23.2,43967,Mitchell
24.1,47757,Montgomery
14.1,59471,Moore
20.7,50122,Nash
20,53419,New Hanover
34.7,37233,Northampton
21.3,50531,Onslow
9.2,71920,Orange
28.1,46447,Pamlico
28.9,46355,Pasquotank
20.8,54900,Pender
26.5,48337,Perquimans
22.6,50149,Person
25.6,43303,Pitt
18.6,50467,Polk
19.1,48372,Randolph
29.1,38514,Richmond
34.7,35407,Robeson
24.2,41869,Rockingham
24,46864,Rowan
25.9,42831,Rutherford
33.1,42807,Sampson
38.4,36730,Scotland
18.6,51491,Stanly
16.6,50826,Stokes
22.6,46342,Surry
22.7,43121,Swain
21.3,51398,Transylvania
36.6,36765,Tyrrell
8.3,80428,Union
32.9,40263,Vance
9.7,80169,Wake
29.7,38430,Warren
38.7,36042,Washington
14.2,48489,Watauga
29.4,41572,Wayne
26.5,44080,Wilkes
29.6,44015,Wilson
20.2,49070,Yadkin
23.3,44756,Yancey
